title,attribution,medium,objectid,iiifthumburl
Stehender weiblicher Akt mit Turban (Standing Nude with Turban) [p. 13],Max Beckmann,graphite and pen with blue ink on paper,65254,"https://api.nga.gov/iiif/4a94c5f1-a7e2-4d6f-b2d8-fd1af6a22f10/full/!200,200/0/default.jpg"
Man with an Umbrella,Marc Chagall,etching and aquatint in black on Richard de Bas laid paper,78869,"https://api.nga.gov/iiif/88a99523-a8d0-4bca-8243-8f10955644b1/full/!200,200/0/default.jpg"
"Clatsop Beach, Oregon",Robert Adams,gelatin silver print,158287,"https://api.nga.gov/iiif/82fc1d54-bac2-4f16-bab3-b196c4250496/full/!200,200/0/default.jpg"
River in Flood,David Young Cameron,etching,5466,"https://api.nga.gov/iiif/8e03daea-3947-4412-bc97-4daae96dcc41/full/!200,200/0/default.jpg"
Flin Flon IV,Frank Stella,polymer and fluorescent polymer paint on canvas,90112,"https://api.nga.gov/iiif/55268e5c-afa6-4a59-a886-44c805bbd100/full/!200,200/0/default.jpg"
Seated Female Figure with Arms Crossed [recto],Mark Rothko,(drawing),69013,"https://api.nga.gov/iiif/c3ad0a2b-0650-4c0b-8e7a-e2852eb7324b/full/!200,200/0/default.jpg"
"Liza Minnelli, Martha Graham, Bob Colacello, Victor Hugo, Benjamin Liu, Paulette Goddard and Unidentified Woman",Andy Warhol,gelatin silver print,175179,"https://api.nga.gov/iiif/bd455607-cefe-4716-96a7-3af072c0e79a/full/!200,200/0/default.jpg"
"Russian Ball, New York City",Larry Fink,gelatin silver print,209993,"https://api.nga.gov/iiif/99e1a6af-9af9-4753-a68f-99348023c2f3/full/!200,200/0/default.jpg"
LuLu Leaps,Elizabeth Murray,color etching and aquatint on Rives BFK wove paper,208117,"https://api.nga.gov/iiif/9d591540-d54d-4c82-b560-6d4d3b6016ee/full/!200,200/0/default.jpg"
Apollo,Willi Baumeister,lithograph on wove paper,153544,"https://api.nga.gov/iiif/bc4c477f-a8d4-4bfe-8276-8b0a142d0ec5/full/!200,200/0/default.jpg"
"Girolamo Savonarola, 1452-1498, Dominican Preacher [obverse]",Style of Niccolò Fiorentino,bronze,44838,"https://api.nga.gov/iiif/db8c2fcc-afff-493a-a58b-a936bf98556c/full/!200,200/0/default.jpg"
Christ Crowned with Thorns,German 16th Century,gilded bronze//(much rubbed),44301,"https://api.nga.gov/iiif/361b7d0c-985c-4da4-885e-161eed29e806/full/!200,200/0/default.jpg"
Boreas and Orithyia (Allegory of Air),Gaspard Marsy II and Anselme Flamen,bronze,69416,"https://api.nga.gov/iiif/24440986-4468-4975-9237-61bd3e01011b/full/!200,200/0/default.jpg"
Maxine's House,Morris Louis,oil on canvas,195212,"https://api.nga.gov/iiif/4d7d3820-0298-4832-b60d-ddeb6147cb25/full/!200,200/0/default.jpg"
Masse Shot,Carl Hugo Beetz,lithograph,145180,"https://api.nga.gov/iiif/54305464-99b4-42dc-ac37-c16d8586b6bb/full/!200,200/0/default.jpg"
Descrizione del Sacro Monte della Vernia,"Jacopo Ligozzi (designer), Raffaello Schiaminossi, Domenico Falcini, Lino Moroni (author)","bound volume with one engraved frontispiece and 22 engraved or etched illustrations with 5 overslips on plates F, G, I, R (2)",163311,"https://api.nga.gov/iiif/fb757c2d-195e-48ab-999f-46f0fa693f8d/full/!200,200/0/default.jpg"
Un procédé pour qu'il marche sans avancer,Honoré Daumier,lithograph,47791,"https://api.nga.gov/iiif/287349d8-cf31-4150-b308-702bf7193dac/full/!200,200/0/default.jpg"
The Angel in the Chandelier,Charles Sorlier after Marc Chagall,"lithographic poster, dry mounted and autographed by Chagall",109859,"https://api.nga.gov/iiif/2699dc72-1837-46e1-8a31-68219023912e/full/!200,200/0/default.jpg"
Dockside Scene,American 19th Century,graphite on laid paper,183004,"https://api.nga.gov/iiif/af4134d1-aba4-4242-8de5-234959e37fe1/full/!200,200/0/default.jpg"
Army SGT. Marvin R. Sprayberry III,Binh Danh,daguerreotype,204817,"https://api.nga.gov/iiif/f15fd084-31b2-4405-91c6-1c6934fb9901/full/!200,200/0/default.jpg"
Night Guard,Jacob Kainen,"watercolor, gouache, chalk, graphite, and collage on wove paper",71127,"https://api.nga.gov/iiif/68cd73e1-1f77-448f-acf8-59110b693380/full/!200,200/0/default.jpg"
Stencil Wall Decoration,Ray Holden,watercolor and graphite on paper,28044,"https://api.nga.gov/iiif/e174360b-4e96-4f87-9089-849809715eaa/full/!200,200/0/default.jpg"
The Uncompromising Land,Lucille Jeffries,lithograph,147613,"https://api.nga.gov/iiif/2a086d62-7d1f-432f-ad5b-bf29a515d197/full/!200,200/0/default.jpg"
Renoir (third plate),Jean-Louis Forain,transfer lithograph,6985,"https://api.nga.gov/iiif/20b8952f-af38-4283-a4b0-ef131cc93ca9/full/!200,200/0/default.jpg"
"Columbia River: Hanford Site, U.S. Department of Energy, Coyote Rapids, Saddle Mountain National Wildlife Refuge, 100 KW and KE Areas (Plutonium Production)",Mark Ruwedel,2 gelatin silver prints,222512,"https://api.nga.gov/iiif/0160f3f2-b5ec-44dc-9b7c-d2d2d89cf41a/full/!200,200/0/default.jpg"
Proceso Piramidal Planetas,Salvador Bru,lithograph (zinc and stone) in gray and black on Copperplate Deluxe paper,61837,"https://api.nga.gov/iiif/6f13b67a-f0d6-46a3-859b-56d15a758682/full/!200,200/0/default.jpg"
Christ on the Cross,German 15th Century,hand-colored woodcut on vellum,3867,"https://api.nga.gov/iiif/4dff420f-e250-47d2-8d35-b59938631e2f/full/!200,200/0/default.jpg"
Bacchus on a Donkey,Jonas Silbert (formerly by Master IS.),"engraving and punch engraving, retouched with black ink, on laid paper",34778,"https://api.nga.gov/iiif/82ce4348-8430-437f-a978-83c0b8ba6d33/full/!200,200/0/default.jpg"
